Rang (2019);Name;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Einwohnerzahl;Fläche in km² (2016);Ew./km² (2018);Großstadt erstmals;Bundesland
Rang (2019);Name;1939;1950;1960;1970;1980;1990;2000;2010;2018;2019;Fläche in km² (2016);Ew./km² (2018);Großstadt erstmals;Bundesland
1;Berlin;4321521;3336026;3274016;3208719;3048759;3433695;3382169;3460725;3644826;3669491;891,68;4088;1747;Berlin
2;Hamburg;1698388;1605606;1836958;1793640;1645095;1652363;1715392;1786448;1841179;1847253;755,22;2438;1787;Hamburg
3;München;815212;831937;1101384;1311978;1298941;1229026;1210223;1353186;1471508;1484226;310,7;4736;1852;Bayern
4;Köln;768352;594941;801142;849451;976694;953551;962884;1007119;1085664;1087863;405,02;2681;1852;Nordrhein-Westfalen
5;Frankfurt am Main;548220;532037;675009;666179;629375;644865;648550;679664;753056;763380;248,31;3033;1875;Hessen
6;Stuttgart;454346;497677;637366;634202;580648;579988;583874;606588;634830;635911;207,35;3062;1874;Baden-Württemberg
7;Düsseldorf;535753;500516;697891;660963;590479;575794;569364;588735;619294;621877;217,41;2849;1882;Nordrhein-Westfalen
8;Leipzig;702155;617574;589632;583885;562480;511079;493208;522883;587857;593145;297,8;1974;1871;Sachsen
9;Dortmund;537865;507349;640802;640642;608297;599055;588994;580444;587010;588250;280,71;2091;1894;Nordrhein-Westfalen
10;Essen;664523;605411;729462;696419;647643;626973;595243;574635;583109;582760;210,34;2772;1896;Nordrhein-Westfalen
11;Bremen;354109;444549;563270;592533;555118;551219;539403;547340;569352;567559;325,56;1749;1875;Bremen
12;Dresden;629713;494187;493603;502432;516225;490571;477807;523058;554649;556780;328,48;1689;1852;Sachsen
13;Hannover;464646;444296;574672;521003;534623;513010;515001;522686;538068;536925;204,14;2636;1875;Niedersachsen
14;Nürnberg;420349;362459;458401;478181;484405;493692;488400;505664;518365;518370;186,38;2781;1881;Bayern
15;Duisburg;433530;410783;503641;452721;558089;535447;514915;489599;498590;498686;232,8;2142;1903;Nordrhein-Westfalen
16;Bochum;305469;289804;362490;343809;400757;396486;391147;374737;364628;365587;145,66;2503;1904;Nordrhein-Westfalen
17;Wuppertal;399718;363224;421378;417694;393381;383660;366434;349721;354382;355100;168,39;2105;1884;Nordrhein-Westfalen
18;Bielefeld;126711;153613;174527;168609;312708;319037;321758;323270;333786;334195;258,82;1290;1930;Nordrhein-Westfalen
19;Bonn;98702;115394;146889;275722;288148;292234;302247;324899;327258;329673;141,06;2320;1934;Nordrhein-Westfalen
20;Münster;132760;118496;180871;198878;269696;259438;265609;279803;314319;315293;303,28;1036;1915;Nordrhein-Westfalen
21;Karlsruhe;184489;198840;240450;259091;271892;275061;278558;294761;313092;312060;173,46;1805;1901;Baden-Württemberg
22;Mannheim;280365;245634;311383;332378;304303;310411;306729;313174;309370;310658;144,96;2134;1897;Baden-Württemberg
23;Augsburg;180039;185183;206422;213230;248346;256877;254982;264708;295135;296582;146,84;2010;1909;Bayern
24;Wiesbaden;165646;220741;257293;250715;274464;260301;270109;275976;278342;278474;203,93;1365;1905;Hessen
25;Mönchen­gladbach;128418;124879;152414;151085;258424;259436;263014;257993;261454;261034;170,47;1534;1921;Nordrhein-Westfalen
26;Gelsenkirchen;317505;315460;388608;347074;304386;293714;278695;257981;260654;259645;104,94;2484;1903;Nordrhein-Westfalen
27;Braunschweig;189628;223760;242489;223275;261141;258833;245816;248867;248292;249406;192,18;1292;1890;Niedersachsen
28;Aachen;159631;129811;170367;175451;243947;241861;244386;258664;247380;248960;160,85;1538;1888;Nordrhein-Westfalen
29;Kiel;261298;254449;271610;271070;250062;245567;232612;239526;247548;246794;118,65;2086;1900;Schleswig-Holstein
30;Chemnitz;334713;293373;286329;299411;317644;294244;259246;243248;247237;246334;221,05;1118;1883;Sachsen
31;Halle (Saale);217480;289119;277855;257261;232294;310234;247736;232963;239257;238762;135,02;1772;1890;Sachsen-Anhalt
32;Magdeburg;329824;260305;261594;272237;289032;278807;231450;231549;238697;237565;201;1188;1882;Sachsen-Anhalt
33;Freiburg im Breisgau;108487;109717;141637;163568;175106;191029;205102;224191;230241;231195;153,06;1504;1934;Baden-Württemberg
34;Krefeld;170205;171875;211479;222666;223969;244020;239916;235076;227020;227417;137,77;1648;1888;Nordrhein-Westfalen
35;Mainz;154033;88369;133089;174858;187392;179486;182870;199237;217118;218578;97,74;2221;1908;Rheinland-Pfalz
36;Lübeck;149502;238276;232140;239955;220588;214758;213399;210232;217198;216530;214,21;1014;1912;Schleswig-Holstein
37;Erfurt;159201;188650;186448;195994;211575;208989;200564;204994;213699;213981;269,88;792;1906;Thüringen
38;Oberhausen;191829;202808;258626;246199;228947;223840;222151;212945;210829;210764;77,09;2735;1914;Nordrhein-Westfalen
39;Rostock;118048;133109;158630;198636;232506;248088;200506;202735;208886;209191;181,26;1152;1935;Mecklenburg-Vorpommern
40;Kassel;211624;162132;206354;214785;195912;194268;194766;195530;201585;202137;106,78;1888;1899;Hessen
41;Hagen;151481;146401;195500;201042;218927;214449;203151;188526;188814;188686;160,45;1177;1928;Nordrhein-Westfalen
42;Saarbrücken;131285;111450;129801;128251;193554;191694;183257;175741;180741;180374;167,09;1082;1909;Saarland
43;Potsdam;126241;118180;115004;111336;130900;139794;129324;156906;178089;180334;188,61;944;1939;Brandenburg
44;Hamm;56684;59866;68775;84629;171869;179639;182427;181783;179111;179916;226,43;791;1975;Nordrhein-Westfalen
45;Ludwigshafen am Rhein1;143934;123869;164657;176257;159399;162233;163383;164177;171061;172253;77,55;2206;1921;Rheinland-Pfalz
46;Mülheim an der Ruhr;136828;149589;183979;192183;181279;177681;172862;167344;170880;170632;91,28;1872;1908;Nordrhein-Westfalen
47;Oldenburg (Oldb);74141;122809;122337;131545;136764;143131;154832;162173;168210;169077;102,99;1633;1946;Niedersachsen
48;Osnabrück;97918;109538;135821;144864;157367;163168;164101;164119;164748;165251;119,8;1375;1939;Niedersachsen
49;Leverkusen;49927;65531;93940;107626;160825;160919;161047;160772;163838;163729;78,87;2077;1963;Nordrhein-Westfalen
50;Heidelberg;84273;116488;127595;121398;133227;136796;140259;147312;160355;161485;108,84;1473;1946;Baden-Württemberg
51;Darmstadt;110552;94788;138736;141847;138201;138920;138242;144402;159207;159878;122,09;1304;1937;Hessen
52;Solingen;140453;147845;170619;177124;166085;165401;164973;159927;159360;159245;89,54;1780;1929;Nordrhein-Westfalen
53;Herne;94639;111591;113252;103849;182542;178132;174529;164762;156374;156449;51,42;3041;1933;Nordrhein-Westfalen
54;Neuss;59649;63478;93680;116013;149334;147019;150013;151388;153796;153896;99,52;1545;1963;Nordrhein-Westfalen
55;Regensburg;90651;117291;123751;130888;132604;121691;125676;135520;152610;153094;80,7;1891;1940;Bayern
56;Paderborn;39955;40270;52773;68207;110155;120680;139084;146283;150580;151633;179,59;838;1975;Nordrhein-Westfalen
57;Ingolstadt;31370;40523;52540;70594;90490;105489;115722;125088;136981;137392;133,37;1027;1989;Bayern
58;Offenbach am Main;85128;89030;115051;118841;110993;114992;117535;120435;128744;130280;44,89;2868;1954;Hessen
59;Fürth;78838;99890;98615;94415;99088;103362;110477;114628;127748;128497;63,35;2017;1950;Bayern
60;Würzburg;101345;78443;115541;116395;128652;127777;127966;133799;127880;127934;87,63;1459;1932;Bayern
61;Ulm;68585;71132;90383;93158;100671;110529;117233;122801;126329;126790;118,69;1064;1980;Baden-Württemberg
62;Heilbronn;74214;64643;87203;102300;111938;115843;119305;122879;125960;126592;99,88;1261;1970;Baden-Württemberg
63;Pforzheim;78320;54143;81373;91104;106500;112944;117156;119781;125542;125957;98;1281;1975;Baden-Württemberg
64;Wolfsburg;6797;25422;62577;90115;125935;128510;121805;121451;124151;124371;204,09;608;1972;Niedersachsen
65;Göttingen;49668;78680;77785;109892;129656;121831;124132;121060;119801;118911;116,89;1025;1964;Niedersachsen
66;Bottrop;83381;93268;111246;106225;114571;118936;120611;116771;117383;117565;100,61;1167;1953;Nordrhein-Westfalen
67;Reutlingen;37421;45735;66659;79705;95456;103687;110650;112484;115966;115865;87,06;1332;1988;Baden-Württemberg
68;Koblenz;86501;66444;97867;120079;113676;108733;107950;106417;114024;114052;105,13;1085;1962;Rheinland-Pfalz
69;Bremer­haven;110982;114070;141017;142919;138728;130446;120822;113366;113634;113643;93,82;1211;1939;Bremen
70;Erlangen;33471;50011;68569;85061;101845;102440;100778;105629;111962;112528;76,95;1455;1974;Bayern
71;Bergisch Gladbach;23286;32681;41409;50228;101472;104037;105693;105723;111966;111846;83,09;1348;1977;Nordrhein-Westfalen
72;Trier;81808;75526;85210;103598;95536;97835;99410;105260;110636;111528;117,13;945;1969;Rheinland-Pfalz
73;Recklinghausen;86302;104791;130405;125369;119418;125060;124785;118365;112267;111397;66,5;1688;1949;Nordrhein-Westfalen
74;Jena;68377;80309;81190;88130;103718;102518;99893;105129;111407;111343;114,76;971;1975;Thüringen
75;Remscheid;103912;103276;125912;136822;129082;123155;119287;110563;110994;111338;74,52;1489;1929;Nordrhein-Westfalen
76;Salzgitter;45598;100667;108872;119031;113600;114355;112302;102394;104948;104291;223,92;469;1942;Niedersachsen
77;Moers;29646;34832;45908;53410;99923;104595;107062;105506;103725;103902;67,68;1533;1975;Nordrhein-Westfalen
78;Siegen;37622;38787;48210;57563;112320;109174;108476;103424;102836;102770;114,69;897;1975;Nordrhein-Westfalen
79;Hildesheim;68679;72292;94352;93373;102619;105291;103909;102794;101990;101693;92,18;1106;1974;Niedersachsen
80;Gütersloh;32841;43111;52346;75297;78221;86807;95156;96404;100194;100861;112,02;894;2018;Nordrhein-Westfalen
81;Kaiserslautern;65890;62761;88668;100696;98745;99351;99825;99184;99845;100030;139,74;715;1970;Rheinland-Pfalz
